"","zipcode","year","state","county","city","appreciation","price","rent","revenue"
"775","32256","2022","FL","Duval County","Jacksonville",8.8,272788.8,16660.8,0.149075821294716
"776","80014","2022","CO","Arapahoe County","Aurora",9.9,388396.9306,19440,0.149051888849814
"777","78212","2022","TX","Bexar County","San Antonio",9.8,292850.2152,14940,0.149015840947212
"778","92307","2022","CA","San Bernardino County","Apple Valley",9.3,355859.1586,19927.2,0.148997434710958
"779","75013","2022","TX","Collin County","Allen",11.8,552488.4885,17109,0.148967161047012
"780","27701","2022","NC","Durham County","Durham",10.2,376066.0956,17649.6,0.148932175504523
"781","91941","2022","CA","San Diego County","La Mesa",11.7,859282.8558,27434.4,0.148927088751769
"782","92071","2022","CA","San Diego County","Santee",11,708372.252,27451.2,0.148752506076424
"783","91942","2022","CA","San Diego County","La Mesa",11.7,736409.5048,23296.8,0.148635659029587
"784","80219","2022","CO","Denver County","Denver",9.8,439625.8044,22228.8,0.148563001028426
"785","30152","2022","GA","Cobb County","Kennesaw",9,375169.498,21964.8,0.148546337367757
"786","32205","2022","FL","Duval County","Jacksonville",8.3,230830.4034,15112.8,0.148471444737769
"787","60188","2022","IL","DuPage County","Carol Stream",8.2,293925.9492,19528.8,0.148441224577663
"788","49506","2022","MI","Kent County","Grand Rapids",9.6,336402.7328,17628,0.148401476805125
"789","87110","2022","NM","Bernalillo County","Albuquerque",8.4,257347.4536,16572,0.148395430256552
"790","92123","2022","CA","San Diego County","San Diego",10.9,836744.7142,32959.2,0.148389791701895
"791","92154","2022","CA","San Diego County","San Diego",10.7,655652.1888,27115.2,0.148356073331544
"792","37209","2022","TN","Davidson County","Nashville",10.3,438448.4562,19876.8,0.148334405262299
"793","78249","2022","TX","Bexar County","San Antonio",9.7,275368.2818,14133.6,0.148326172744417
"794","92027","2022","CA","San Diego County","Escondido",11.6,659757.1032,21297.6,0.148280971128164
"795","37122","2022","TN","Wilson County","Mount Juliet",9.2,419805.6408,23534.4,0.148060228145462
"796","32765","2022","FL","Seminole County","Oviedo",9.4,393193.8836,21244.8,0.148031359301643
"797","55379","2022","MN","Scott County","Shakopee",9.3,368948.2708,20280,0.147967055289421
"798","98052","2022","WA","King County","Redmond",12.5,1121128.875,25723.2,0.147944017029264
"799","33162","2022","FL","Miami-Dade County","North Miami Beach",8.1,351191.3884,23496,0.147903690625917
"800","94521","2022","CA","Contra Costa County","Concord",9.9,638882.3294,31238.4,0.147895388966756
